items,feedback,admirers,open_date.year,open_date.month,open_date.day-of-month,open_date.day-of-week,sales
21,0,4,2013,3,29,5,3
145,226,132,2011,8,26,5,272
126,1,21,2013,4,3,3,4
105,59,350,2010,2,13,6,113
549,724,633,2011,5,15,7,2727
60,11,69,2013,3,3,7,21
29,55,437,2013,2,13,3,109
805,1564,2482,2009,5,3,7,3797
73,418,705,2006,8,22,2,464
133,57,88,2012,10,15,1,172
583,11654,13425,2008,3,31,1,36661
4,0,2,2013,6,3,1,0
2,0,1,2013,6,3,1,0
6,0,4,2013,5,2,4,1
0,0,1,2013,5,27,1,0
0,0,0,2013,6,5,3,0
36,0,7,2013,3,19,2,1
11,0,0,2013,6,20,4,0
0,0,0,2013,6,5,3,0
0,3,0,2013,5,22,3,1
8,0,2,2013,6,2,7,2
7,18,42,2009,7,12,7,4
69,6,10,2013,1,10,4,11
207,527,7263,2009,9,22,2,1640
23,0,4,2012,7,4,3,1
16,11,339,2011,9,22,4,17
62,1240,33371,2009,6,7,7,2952
35,69,9830,2010,8,17,2,229
55,229,8567,2010,11,14,7,431
57,1,231,2012,5,18,5,5
4,2,215,2012,12,26,3,5
13,39,170,2011,9,13,2,179
36,2,331,2013,4,11,4,5
42,10,467,2012,10,27,6,19
42,19,670,2012,8,21,2,39
117,298,1177,2012,2,29,3,722
135,341,3805,2011,11,5,6,1338
15,11,354,2013,3,25,1,22
328,137,2523,2010,10,23,6,273
218,388,3655,2011,9,9,5,610
159,423,773,2008,2,19,2,1081
202,23,231,2012,1,21,6,17
60,28,336,2011,4,25,1,110
175,140,742,2012,5,8,2,340
65,0,95,2013,2,7,4,1
43,60,309,2011,11,8,2,48
51,26,670,2011,4,16,6,42
73,54,365,2008,6,22,7,59
232,630,884,2010,2,1,1,1201
159,196,2089,2009,9,30,3,286
283,143,413,2012,11,9,5,167
34,11,645,2012,10,20,6,23
89,82,818,2012,1,31,2,94
26,4,147,2012,12,26,3,6
97,281,1108,2011,4,13,3,317
53,6,234,2013,4,2,2,6
62,6,761,2012,8,21,2,24
45,0,107,2013,6,2,7,0
537,276,1300,2012,1,11,3,468
33,0,139,2013,4,29,1,5
102,490,2002,2010,6,9,3,211
108,72,264,2012,4,9,1,186
28,32,694,2012,5,5,6,50
19,2,23,2013,5,13,1,0
78,103,269,2010,7,18,7,184
199,117,2129,2010,10,8,5,215
73,422,4692,2011,1,28,5,532
234,1342,4684,2008,2,15,5,3890
63,27,244,2011,12,7,3,17
127,14,939,2009,12,2,3,10
260,400,14506,2011,3,2,3,1108
117,33,1570,2012,2,6,1,58
147,126,129,2013,5,4,6,15
8,0,2,2013,6,13,4,0
193,1,408,2013,1,18,5,3
83,748,9077,2009,9,18,5,1422
29,0,402,2012,11,24,6,5
124,43,1775,2012,1,26,4,81
230,89,1238,2012,2,7,2,249
99,51,1441,2011,7,14,4,114
71,28,194,2013,2,8,5,4
40,6,116,2013,2,14,4,6
93,38,1538,2010,6,30,3,40
13,2,64,2013,3,18,1,0
89,167,1668,2011,9,30,5,226
175,80,815,2009,3,9,1,143
183,302,1361,2011,5,10,2,423
199,16,156,2012,11,27,2,102
60,1,281,2013,1,26,6,3
61,4,202,2013,2,6,3,12
15,9,366,2012,4,14,6,9
86,86,912,2011,6,30,4,170
25,30,696,2012,3,21,3,9
53,10,187,2012,11,2,5,28
121,320,1143,2010,5,16,7,499
21,0,299,2013,2,28,4,1
81,9,382,2012,8,27,1,10
50,10,513,2012,11,30,5,33
74,159,1143,2010,11,19,5,114
31,3,336,2013,2,3,7,8
68,69,771,2011,3,23,3,44
79,86,509,2009,11,14,6,52
339,536,2099,2008,3,3,1,946
353,193,770,2012,6,26,2,309
107,593,1434,2009,12,1,2,221
271,516,426,2011,9,9,5,829
494,795,2516,2010,4,24,6,1202
44,16,964,2013,2,27,3,58
140,50,923,2010,11,6,6,89
38,2,178,2013,1,4,5,3
66,4,245,2013,3,1,5,12
37,37,846,2010,4,10,6,8
36,21,819,2012,5,9,3,29
308,1030,3113,2008,7,14,1,1831
22,6,179,2013,3,21,4,6
73,106,1709,2010,1,29,5,69
40,119,1031,2010,2,7,7,151
174,371,1404,2010,11,15,1,381
0,0,110,2013,5,15,3,0
131,942,1300,2009,5,15,5,1819
46,305,1148,2006,7,9,7,368
47,20,328,2011,8,6,6,51
49,18,643,2012,10,19,5,29
138,34,936,2007,4,11,3,59
70,3,124,2012,3,17,6,10
91,102,1349,2009,5,26,2,160
337,2838,24407,2007,7,2,1,3115
71,349,1269,2011,2,9,3,294
84,113,2583,2010,10,24,7,326
662,720,5131,2008,2,29,5,1028
198,409,3563,2010,9,5,7,714
84,37,312,2012,1,31,2,120
156,26,840,2011,3,24,4,46
464,1645,14068,2011,2,15,2,5110
72,85,431,2012,5,30,3,28
33,10,952,2012,11,1,4,21
55,6,217,2012,1,1,7,9
336,328,1771,2009,1,25,7,117
14,0,82,2013,4,21,7,2
685,434,1441,2011,1,13,4,890
200,162,341,2008,5,12,1,120
74,43,786,2010,12,9,4,54
40,114,2413,2009,8,4,2,352
15,7,209,2011,7,14,4,13
54,60,447,2010,8,24,2,86
95,10,976,2010,1,29,5,26
593,128,249,2010,3,17,3,266
90,1,157,2013,3,25,1,3
139,335,1311,2010,9,23,4,353
123,11,1627,2012,5,25,5,15
182,180,1753,2011,10,1,6,279
184,19,837,2010,12,29,3,39
22,0,191,2012,7,28,6,1
58,0,171,2013,1,5,6,0
120,70,406,2011,1,31,1,161
137,344,2317,2010,9,28,2,655
107,239,1549,2012,1,11,3,417
54,339,12896,2010,7,18,7,513
0,63,1919,2011,2,9,3,128
217,28,213,2012,10,10,3,34
40,6,227,2012,6,15,5,6
105,301,1588,2009,2,26,4,1004
151,275,1490,2009,12,29,2,512
47,88,215,2011,6,3,5,193
85,67,1164,2012,1,14,6,222
103,5,250,2013,3,22,5,13
28,3,3,2012,2,19,7,6
155,564,4291,2009,3,29,7,910
199,130,712,2010,11,19,5,265
125,0,28,2013,6,19,3,0
107,129,3143,2012,1,8,7,209
27,0,99,2013,5,23,4,0
34,7,3,2011,9,4,7,7
58,226,1319,2012,2,27,1,581
170,499,2121,2009,6,10,3,1220
207,3940,8905,2009,3,31,2,5710
169,111,1179,2011,12,11,7,289
220,180,1744,2012,1,6,5,442
82,4,134,2012,6,19,2,33
122,77,4705,2010,12,12,7,184
107,197,371,2010,8,5,4,125
223,199,695,2009,11,27,5,291
124,777,1586,2010,11,4,4,734
106,135,1047,2008,6,15,7,153
14,1,23,2012,9,1,6,6
38,2,76,2012,9,18,2,1
210,207,249,2011,6,17,5,23
93,28,468,2012,11,18,7,71
0,0,2,2013,5,15,3,0
45,34,735,2012,1,3,2,57
93,95,687,2009,12,13,7,528
479,247,787,2007,5,6,7,502
23,52,1259,2011,8,4,4,109
628,135,1495,2008,8,12,2,269
135,170,605,2011,10,15,6,58
73,58,1824,2011,2,14,1,129
